Name	Fraktion	Geschlecht	Bundesland	Wahlkreis	Mandat	Biografie	Art	Stufe	Jahr	Beginn	Ende	Periodisch	Originaltext
Norbert Schindler	CDU/CSU	m	Rheinland-Pfalz	Wahlkreis 209: Neustadt - Speyer	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/schindler_norbert/259032	Funktionen in Unternehmen	5	2013			einmalig	CropEnergies AG, Mannheim, Mitglied des Aufsichtsrates, 2013, Stufe 5
Norbert Schindler	CDU/CSU	m	Rheinland-Pfalz	Wahlkreis 209: Neustadt - Speyer	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/schindler_norbert/259032	Funktionen in Unternehmen	4	2014			einmalig	CropEnergies AG, Mannheim, 2014, Stufe 4
Norbert Schindler	CDU/CSU	m	Rheinland-Pfalz	Wahlkreis 209: Neustadt - Speyer	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/schindler_norbert/259032	Funktionen in Unternehmen	4	2015			einmalig	CropEnergies AG, Mannheim, 2015, Stufe 4
Norbert Schindler	CDU/CSU	m	Rheinland-Pfalz	Wahlkreis 209: Neustadt - Speyer	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/schindler_norbert/259032	Funktionen in Unternehmen	3	2015			einmalig	Süddeutsche Krankenversicherung a.G., Stuttgart, Mitglied des Aufsichtsrates, 2015, Stufe 3
Norbert Schindler	CDU/CSU	m	Rheinland-Pfalz	Wahlkreis 209: Neustadt - Speyer	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/schindler_norbert/259032	Funktionen in Unternehmen	3	2016			einmalig	Süddeutsche Krankenversicherung a.G., Stuttgart, 2016, Stufe 3
Norbert Schindler	CDU/CSU	m	Rheinland-Pfalz	Wahlkreis 209: Neustadt - Speyer	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/schindler_norbert/259032	Funktionen in Unternehmen	3				einmalig	Süddeutsche Lebensversicherung a.G., Stuttgart, Mitglied des Aufsichtsrates, 2012, Stufe 3 (Nachtrag zur 17. Wahlperiode)
Norbert Schindler	CDU/CSU	m	Rheinland-Pfalz	Wahlkreis 209: Neustadt - Speyer	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/schindler_norbert/259032	Funktionen in Unternehmen	3	2013			einmalig	Süddeutsche Lebensversicherung a.G., Stuttgart, 2013, Stufe 3
Norbert Schindler	CDU/CSU	m	Rheinland-Pfalz	Wahlkreis 209: Neustadt - Speyer	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/schindler_norbert/259032	Funktionen in Körperschaften und Anstalten des öffentlichen Rechts	3			2015-12-30T23:00:00.000Z	jährlich	Landwirtschaftliche Rentenbank, Frankfurt/Main, Mitglied des Verwaltungsrates (bis 31.12.2015), jährlich, Stufe 3
Norbert Schindler	CDU/CSU	m	Rheinland-Pfalz	Wahlkreis 209: Neustadt - Speyer	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/schindler_norbert/259032	Funktionen in Körperschaften und Anstalten des öffentlichen Rechts	1				monatlich	Landwirtschaftskammer Rheinland-Pfalz, Bad Kreuznach, Präsident, monatlich, Stufe 1
Norbert Schindler	CDU/CSU	m	Rheinland-Pfalz	Wahlkreis 209: Neustadt - Speyer	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/schindler_norbert/259032	Funktionen in Vereinen, Verbänden und Stiftungen	1			2014-09-29T22:00:00.000Z	monatlich	Bauern- und Winzerverband Rheinland-Pfalz-Süd e.V., Mainz, Präsident (bis 30.09.2014), monatlich, Stufe 1
Norbert Schindler	CDU/CSU	m	Rheinland-Pfalz	Wahlkreis 209: Neustadt - Speyer	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/schindler_norbert/259032	Funktionen in Vereinen, Verbänden und Stiftungen	1				monatlich	Bundesverband der deutschen Bioethanolwirtschaft e.V. (BDBe), Berlin, Vorsitzender, monatlich, Stufe 1
Norbert Schindler	CDU/CSU	m	Rheinland-Pfalz	Wahlkreis 209: Neustadt - Speyer	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/schindler_norbert/259032	Funktionen in Vereinen, Verbänden und Stiftungen	1			2015-06-23T22:00:00.000Z	monatlich	Deutscher Bauernverband e.V., Berlin, Vizepräsident (bis 24.06.2015), monatlich, Stufe 1
Carsten Schneider	SPD	m	Thüringen	Wahlkreis 193: Erfurt - Weimar - Weimarer Land II	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/schneider_carsten/259094	Entgeltliche Tätigkeiten neben dem Mandat	2	2014			einmalig	The London Speaker Bureau, Karlsruhe, Podiumsdiskussion, 2014, Stufe 2 („Euro, Wachstum und Gerechtigkeit", Investmentkonferenz Sal. Oppenheim jr. & Cie. AG & Co. KGaA, Köln)
Ewald Schurer	SPD	m	Bayern	Wahlkreis 214: Erding - Ebersberg	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/schurer_ewald/259070	Entgeltliche Tätigkeiten neben dem Mandat	1				monatlich	INFORM Schurer, Ebersberg, IABG Industrieanlagen-Betriebsgesellschaft mbH, München, monatlich, Stufe 1
Johannes Selle	CDU/CSU	m	Thüringen	Wahlkreis 191: Kyffhäuserkreis - Sömmerda - Weimarer Land I	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/selle_johannes/258974	Entgeltliche Tätigkeiten neben dem Mandat	1				monatlich	Mitteldeutsche Medienförderung GmbH, Leipzig, Beratung, monatlich, Stufe 1
Detlef Seif	CDU/CSU	m	Nordrhein-Westfalen	Wahlkreis 092: Euskirchen - Rhein-Erft-Kreis II	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/seif_detlef/258948	Entgeltliche Tätigkeiten neben dem Mandat	1	2016			einmalig	Rechtsanwalt, Weilerswist, Mandant 78, 2016, Stufe 1
Rainer Spiering	SPD	m	Niedersachsen	Wahlkreis 038: Osnabrück-Land	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/spiering_rainer/259074	Funktionen in Körperschaften und Anstalten des öffentlichen Rechts	3				jährlich	Landkreis Osnabrück, Osnabrück, Mitglied des Kreistages, jährlich, Stufe 3
Albert Stegemann	CDU/CSU	m	Niedersachsen	Wahlkreis 031: Mittelems	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/stegemann_albert/259098	Entgeltliche Tätigkeiten neben dem Mandat	6	2016			einmalig	Landwirtschaftsbetrieb Albert Stegemann, Großringe, 2016, Stufe 6
Albert Stegemann	CDU/CSU	m	Niedersachsen	Wahlkreis 031: Mittelems	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/stegemann_albert/259098	Entgeltliche Tätigkeiten neben dem Mandat	3	2016			einmalig	Landwirtschaftsbetrieb Albert Stegemann, Großringe, Vertragspartner 8, Vette Agro Service GmbH & Co. KG, Hoogstede, 2016, Stufe 3
Peer Steinbrück	SPD	m	Nordrhein-Westfalen	Wahlkreis 104: Mettmann I	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/steinbrueck_peer/259022	Entgeltliche Tätigkeiten neben dem Mandat	8	2014			einmalig	Hoffmann & Campe Verlag GmbH, Hamburg, Publizistische Tätigkeit, 2014, Stufe 8
Peer Steinbrück	SPD	m	Nordrhein-Westfalen	Wahlkreis 104: Mettmann I	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/steinbrueck_peer/259022	Entgeltliche Tätigkeiten neben dem Mandat	8	2015			einmalig	Hoffmann & Campe Verlag GmbH, Hamburg, 2015, Stufe 8
Peer Steinbrück	SPD	m	Nordrhein-Westfalen	Wahlkreis 104: Mettmann I	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/steinbrueck_peer/259022	Entgeltliche Tätigkeiten neben dem Mandat	3	2015			einmalig	Hoffmann & Campe Verlag GmbH, Hamburg, Vortrag, 2015, Stufe 3 (Lesereise)
Peer Steinbrück	SPD	m	Nordrhein-Westfalen	Wahlkreis 104: Mettmann I	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/steinbrueck_peer/259022	Entgeltliche Tätigkeiten neben dem Mandat	2	2016			einmalig	Hoffmann & Campe Verlag GmbH, Hamburg, Vortrag, 2016, Stufe 2 (Lesereise)
